cart_id,product_id,product_name,price,quantity,total,discount_percentage,discounted_total,thumbnail
7,120,Vaseline Men Body and Face Lotion,9.99,4.0,39.96,13.39,34.61,https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/thumbnail.webp
7,136,Vivo X21,499.99,1.0,499.99,17.41,412.94,https://cdn.dummyjson.com/product-images/smartphones/vivo-x21/thumbnail.webp
8,11,Annibale Colombo Bed,1899.99,3.0,5699.97,8.57,5211.48,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp
8,18,Cat Food,8.99,2.0,17.98,9.58,16.26,https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp
8,50,Black Whisk,9.99,3.0,29.97,10.24,26.9,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/thumbnail.webp
8,106,Apple Watch Series 4 Gold,349.99,1.0,349.99,12.02,307.92,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/thumbnail.webp
8,108,iPhone 12 Silicone Case with MagSafe Plum,29.99,4.0,119.96,13.85,103.35,https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/thumbnail.webp
8,162,Blue Frock,29.99,4.0,119.96,12.13,105.41,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp
9,1,Essence Mascara Lash Princess,9.99,3.0,29.97,10.48,26.83,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp
9,90,Puma Future Rider Trainers,89.99,2.0,179.98,4.2,172.42,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp
9,98,Rolex Submariner Watch,13999.99,2.0,27999.98,5.05,26585.98,https://cdn.dummyjson.com/product-images/mens-watches/rolex-submariner-watch/thumbnail.webp
9,132,Samsung Galaxy S8,499.99,3.0,1499.97,19.45,1208.23,https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s8/thumbnail.webp
10,41,Tissue Paper Box,2.49,1.0,2.49,13.28,2.16,https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/thumbnail.webp
10,108,iPhone 12 Silicone Case with MagSafe Plum,29.99,5.0,149.95,13.85,129.18,https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/thumbnail.webp
11,25,Green Bell Pepper,1.29,3.0,3.87,0.16,3.86,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp
11,55,Egg Slicer,6.99,4.0,27.96,14.76,23.83,https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/thumbnail.webp
11,101,Apple AirPods Max Silver,549.99,2.0,1099.98,13.67,949.61,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods-max-silver/thumbnail.webp
11,115,MotoGP CI.H1,14999.99,4.0,59999.96,6.92,55847.96,https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/thumbnail.webp
11,161,Samsung Galaxy Tab White,349.99,2.0,699.98,18.2,572.58,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp
12,8,Dior J'adore,89.99,1.0,89.99,14.72,76.74,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp
12,14,Knoll Saarinen Executive Conference Chair,499.99,4.0,1999.96,2.01,1959.76,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp
12,28,Ice Cream,5.49,5.0,27.45,8.69,25.06,https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp
12,98,Rolex Submariner Watch,13999.99,2.0,27999.98,5.05,26585.98,https://cdn.dummyjson.com/product-images/mens-watches/rolex-submariner-watch/thumbnail.webp
12,117,Sportbike Motorcycle,7499.99,1.0,7499.99,11.58,6631.49,https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/thumbnail.webp
12,162,Blue Frock,29.99,5.0,149.95,12.13,131.76,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp
13,23,Eggs,2.99,4.0,11.96,11.05,10.64,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp
13,35,Potatoes,2.29,2.0,4.58,5.38,4.33,https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp
14,44,Family Tree Photo Frame,29.99,4.0,119.96,14.87,102.12,https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/thumbnail.webp
14,65,Lunch Box,12.99,5.0,64.95,10.34,58.23,https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp
14,68,Pan,24.99,1.0,24.99,3.0,24.24,https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/thumbnail.webp
15,61,Hand Blender,34.99,2.0,69.98,17.02,58.07,https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp
15,105,Apple MagSafe Battery Pack,99.99,1.0,99.99,17.17,82.82,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/thumbnail.webp
15,141,Basketball Rim,39.99,2.0,79.98,7.74,73.79,https://cdn.dummyjson.com/product-images/sports-accessories/basketball-rim/thumbnail.webp
16,20,Cooking Oil,4.99,5.0,24.95,9.33,22.62,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp
16,91,Sports Sneakers Off White & Red,119.99,3.0,359.97,4.97,342.08,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp
17,25,Green Bell Pepper,1.29,5.0,6.45,0.16,6.44,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp
17,26,Green Chili Pepper,0.99,5.0,4.95,1.0,4.9,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp
17,123,iPhone 13 Pro,1099.99,5.0,5499.95,9.37,4984.6,https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp
17,137,American Football,19.99,1.0,19.99,4.93,19.0,https://cdn.dummyjson.com/product-images/sports-accessories/american-football/thumbnail.webp
18,169,Dodge Hornet GT Plus,24999.99,5.0,124999.95,2.63,121712.45,https://cdn.dummyjson.com/product-images/vehicle/dodge-hornet-gt-plus/thumbnail.webp
18,193,Watch Gold for Women,799.99,5.0,3999.95,18.34,3266.36,https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/thumbnail.webp
19,22,Dog Food,10.99,3.0,32.97,10.27,29.58,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp
19,56,Electric Stove,49.99,1.0,49.99,14.04,42.97,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp
19,69,Plate,3.99,5.0,19.95,7.31,18.49,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp
19,71,Silver Pot With Glass Cap,39.99,1.0,39.99,5.7,37.71,https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/thumbnail.webp
19,97,Rolex Datejust,10999.99,2.0,21999.98,3.73,21179.38,https://cdn.dummyjson.com/product-images/mens-watches/rolex-datejust/thumbnail.webp
20,36,Protein Powder,19.99,3.0,59.97,7.59,55.42,https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp
20,89,Nike Baseball Cleats,79.99,3.0,239.97,18.04,196.68,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp
20,123,iPhone 13 Pro,1099.99,4.0,4399.96,9.37,3987.68,https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp
20,146,Feather Shuttlecock,5.99,2.0,11.98,2.95,11.63,https://cdn.dummyjson.com/product-images/sports-accessories/feather-shuttlecock/thumbnail.webp
21,79,Asus Zenbook Pro Dual Screen Laptop,1799.99,1.0,1799.99,11.14,1599.47,https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp
21,164,Gray Dress,34.99,4.0,139.96,14.28,119.97,https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp
21,192,Rolex Datejust Women,10999.99,1.0,10999.99,15.94,9246.59,https://cdn.dummyjson.com/product-images/womens-watches/rolex-datejust-women/thumbnail.webp
22,16,Apple,1.99,4.0,7.96,12.62,6.96,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp
22,92,Sports Sneakers Off White Red,109.99,2.0,219.98,0.04,219.89,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp
22,166,Tartan Dress,39.99,2.0,79.98,12.95,69.62,https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp
23,127,Oppo K1,299.99,5.0,1499.95,18.29,1225.61,https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp
23,134,Vivo S1,249.99,4.0,999.96,10.17,898.26,https://cdn.dummyjson.com/product-images/smartphones/vivo-s1/thumbnail.webp
24,117,Sportbike Motorcycle,7499.99,4.0,29999.96,11.58,26525.96,https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/thumbnail.webp
24,128,Realme C35,149.99,2.0,299.98,15.3,254.08,https://cdn.dummyjson.com/product-images/smartphones/realme-c35/thumbnail.webp
25,32,Milk,3.49,2.0,6.98,13.74,6.02,https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp
25,35,Potatoes,2.29,5.0,11.45,5.38,10.83,https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp
25,103,Apple HomePod Mini Cosmic Grey,99.99,1.0,99.99,18.1,81.89,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-homepod-mini-cosmic-grey/thumbnail.webp
25,106,Apple Watch Series 4 Gold,349.99,3.0,1049.97,12.02,923.76,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/thumbnail.webp
25,110,Selfie Lamp with iPhone,14.99,4.0,59.96,19.4,48.33,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-lamp-with-iphone/thumbnail.webp
26,63,Kitchen Sieve,7.99,4.0,31.96,18.91,25.92,https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/thumbnail.webp
26,108,iPhone 12 Silicone Case with MagSafe Plum,29.99,4.0,119.96,13.85,103.35,https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/thumbnail.webp
26,122,iPhone 6,299.99,3.0,899.97,6.69,839.76,https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp
26,153,Volleyball,11.99,5.0,59.95,12.25,52.61,https://cdn.dummyjson.com/product-images/sports-accessories/volleyball/thumbnail.webp
27,20,Cooking Oil,4.99,3.0,14.97,9.33,13.57,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp
27,97,Rolex Datejust,10999.99,5.0,54999.95,3.73,52948.45,https://cdn.dummyjson.com/product-images/mens-watches/rolex-datejust/thumbnail.webp
27,113,Generic Motorcycle,3999.99,3.0,11999.97,12.1,10547.97,https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp
27,192,Rolex Datejust Women,10999.99,4.0,43999.96,15.94,36986.37,https://cdn.dummyjson.com/product-images/womens-watches/rolex-datejust-women/thumbnail.webp
28,46,Plant Pot,14.99,3.0,44.97,6.84,41.89,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp
28,64,Knife,14.99,2.0,29.98,18.86,24.33,https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/thumbnail.webp
28,81,Lenovo Yoga 920,1099.99,5.0,5499.95,6.55,5139.7,https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/thumbnail.webp
28,175,White Faux Leather Backpack,39.99,3.0,119.97,15.2,101.73,https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/thumbnail.webp
28,182,Green Crystal Earring,29.99,5.0,149.95,15.24,127.1,https://cdn.dummyjson.com/product-images/womens-jewellery/green-crystal-earring/thumbnail.webp
28,185,Black & Brown Slipper,19.99,5.0,99.95,3.33,96.62,https://cdn.dummyjson.com/product-images/womens-shoes/black-&-brown-slipper/thumbnail.webp
29,48,Bamboo Spatula,7.99,5.0,39.95,2.84,38.82,https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/thumbnail.webp
29,102,Apple Airpower Wireless Charger,79.99,5.0,399.95,4.48,382.03,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpower-wireless-charger/thumbnail.webp
29,141,Basketball Rim,39.99,3.0,119.97,7.74,110.68,https://cdn.dummyjson.com/product-images/sports-accessories/basketball-rim/thumbnail.webp
29,174,Prada Women Bag,599.99,3.0,1799.97,14.09,1546.35,https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/thumbnail.webp
30,3,Powder Canister,14.99,5.0,74.95,9.84,67.57,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp
30,77,Yellow Peeler,5.99,1.0,5.99,12.48,5.24,https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/thumbnail.webp
30,126,Oppo F19 Pro Plus,399.99,1.0,399.99,18.64,325.43,https://cdn.dummyjson.com/product-images/smartphones/oppo-f19-pro-plus/thumbnail.webp
30,135,Vivo V9,299.99,2.0,599.98,17.67,493.96,https://cdn.dummyjson.com/product-images/smartphones/vivo-v9/thumbnail.webp
30,143,Cricket Bat,29.99,1.0,29.99,3.29,29.0,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-bat/thumbnail.webp
30,170,Durango SXT RWD,36999.99,5.0,184999.95,16.44,154585.96,https://cdn.dummyjson.com/product-images/vehicle/durango-sxt-rwd/thumbnail.webp
31,2,Eyeshadow Palette with Mirror,19.99,2.0,39.98,18.19,32.71,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp
31,16,Apple,1.99,1.0,1.99,12.62,1.74,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp
31,54,Citrus Squeezer Yellow,8.99,3.0,26.97,12.1,23.71,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/thumbnail.webp
31,106,Apple Watch Series 4 Gold,349.99,3.0,1049.97,12.02,923.76,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/thumbnail.webp
31,187,Golden Shoes Woman,49.99,3.0,149.97,13.93,129.08,https://cdn.dummyjson.com/product-images/womens-shoes/golden-shoes-woman/thumbnail.webp
32,21,Cucumber,1.49,5.0,7.45,0.16,7.44,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp
32,181,Marni Red & Black Suit,179.99,1.0,179.99,19.02,145.76,https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/thumbnail.webp
33,14,Knoll Saarinen Executive Conference Chair,499.99,5.0,2499.95,2.01,2449.7,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp
33,38,Rice,5.99,3.0,17.97,9.29,16.3,https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp
33,43,Decoration Swing,59.99,5.0,299.95,10.41,268.73,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/thumbnail.webp
33,127,Oppo K1,299.99,4.0,1199.96,18.29,980.49,https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp
33,169,Dodge Hornet GT Plus,24999.99,5.0,124999.95,2.63,121712.45,https://cdn.dummyjson.com/product-images/vehicle/dodge-hornet-gt-plus/thumbnail.webp
33,175,White Faux Leather Backpack,39.99,1.0,39.99,15.2,33.91,https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/thumbnail.webp
34,100,Apple Airpods,129.99,3.0,389.97,15.54,329.37,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/thumbnail.webp
34,136,Vivo X21,499.99,2.0,999.98,17.41,825.88,https://cdn.dummyjson.com/product-images/smartphones/vivo-x21/thumbnail.webp
34,154,Black Sun Glasses,29.99,3.0,89.97,4.94,85.53,https://cdn.dummyjson.com/product-images/sunglasses/black-sun-glasses/thumbnail.webp
35,38,Rice,5.99,3.0,17.97,9.29,16.3,https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp
35,54,Citrus Squeezer Yellow,8.99,1.0,8.99,12.1,7.9,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/thumbnail.webp
35,55,Egg Slicer,6.99,4.0,27.96,14.76,23.83,https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/thumbnail.webp
35,67,Mug Tree Stand,15.99,1.0,15.99,9.25,14.51,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/thumbnail.webp
35,69,Plate,3.99,2.0,7.98,7.31,7.4,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp
35,181,Marni Red & Black Suit,179.99,3.0,539.97,19.02,437.27,https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/thumbnail.webp
36,3,Powder Canister,14.99,3.0,44.97,9.84,40.54,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp
36,72,Slotted Turner,8.99,4.0,35.96,13.35,31.16,https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/thumbnail.webp
36,138,Baseball Ball,8.99,2.0,17.98,1.71,17.67,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-ball/thumbnail.webp
37,41,Tissue Paper Box,2.49,4.0,9.96,13.28,8.64,https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/thumbnail.webp
37,141,Basketball Rim,39.99,3.0,119.97,7.74,110.68,https://cdn.dummyjson.com/product-images/sports-accessories/basketball-rim/thumbnail.webp
38,110,Selfie Lamp with iPhone,14.99,2.0,29.98,19.4,24.16,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-lamp-with-iphone/thumbnail.webp
38,161,Samsung Galaxy Tab White,349.99,1.0,349.99,18.2,286.29,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp
39,148,Golf Ball,9.99,2.0,19.98,17.37,16.51,https://cdn.dummyjson.com/product-images/sports-accessories/golf-ball/thumbnail.webp
39,177,Black Women's Gown,129.99,2.0,259.98,10.48,232.73,https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/thumbnail.webp
40,6,Calvin Klein CK One,49.99,3.0,149.97,1.89,147.14,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp
40,77,Yellow Peeler,5.99,4.0,23.96,12.48,20.97,https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/thumbnail.webp
40,154,Black Sun Glasses,29.99,3.0,89.97,4.94,85.53,https://cdn.dummyjson.com/product-images/sunglasses/black-sun-glasses/thumbnail.webp
41,7,Chanel Coco Noir Eau De,129.99,4.0,519.96,16.51,434.11,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp
41,38,Rice,5.99,5.0,29.95,9.29,27.17,https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp
41,95,Rolex Cellini Date Black Dial,8999.99,3.0,26999.97,8.88,24602.37,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-date-black-dial/thumbnail.webp
41,97,Rolex Datejust,10999.99,2.0,21999.98,3.73,21179.38,https://cdn.dummyjson.com/product-images/mens-watches/rolex-datejust/thumbnail.webp
41,139,Baseball Glove,24.99,4.0,99.96,2.9,97.06,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-glove/thumbnail.webp
42,7,Chanel Coco Noir Eau De,129.99,2.0,259.98,16.51,217.06,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp
42,17,Beef Steak,12.99,4.0,51.96,9.61,46.97,https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp
42,148,Golf Ball,9.99,5.0,49.95,17.37,41.27,https://cdn.dummyjson.com/product-images/sports-accessories/golf-ball/thumbnail.webp
42,164,Gray Dress,34.99,3.0,104.97,14.28,89.98,https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp
42,179,Corset With Black Skirt,79.99,2.0,159.98,15.06,135.89,https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/thumbnail.webp
43,13,Bedside Table African Cherry,299.99,2.0,599.98,19.09,485.44,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp
43,61,Hand Blender,34.99,2.0,69.98,17.02,58.07,https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp
43,88,Nike Air Jordan 1 Red And Black,149.99,5.0,749.95,4.12,719.05,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp
43,90,Puma Future Rider Trainers,89.99,3.0,269.97,4.2,258.63,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp
44,22,Dog Food,10.99,1.0,10.99,10.27,9.86,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp
44,40,Strawberry,3.99,3.0,11.97,1.12,11.84,https://cdn.dummyjson.com/product-images/groceries/strawberry/thumbnail.webp
44,74,Spoon,4.99,4.0,19.96,1.53,19.65,https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/thumbnail.webp
44,115,MotoGP CI.H1,14999.99,3.0,44999.97,6.92,41885.97,https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/thumbnail.webp
44,132,Samsung Galaxy S8,499.99,4.0,1999.96,19.45,1610.97,https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s8/thumbnail.webp
44,142,Cricket Ball,12.99,1.0,12.99,8.63,11.87,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-ball/thumbnail.webp
45,29,Juice,3.99,3.0,11.97,12.06,10.53,https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp
45,30,Kiwi,2.49,3.0,7.47,15.22,6.33,https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp
45,72,Slotted Turner,8.99,2.0,17.98,13.35,15.58,https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/thumbnail.webp
45,75,Tray,16.99,5.0,84.95,7.48,78.6,https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/thumbnail.webp
45,156,Green and Black Glasses,34.99,4.0,139.96,1.01,138.55,https://cdn.dummyjson.com/product-images/sunglasses/green-and-black-glasses/thumbnail.webp
45,168,Charger SXT RWD,32999.99,4.0,131999.96,8.23,121136.36,https://cdn.dummyjson.com/product-images/vehicle/charger-sxt-rwd/thumbnail.webp
46,14,Knoll Saarinen Executive Conference Chair,499.99,4.0,1999.96,2.01,1959.76,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp
46,21,Cucumber,1.49,5.0,7.45,0.16,7.44,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp
46,96,Rolex Cellini Moonphase,12999.99,5.0,64999.95,17.52,53611.96,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-moonphase/thumbnail.webp
46,121,iPhone 5s,199.99,3.0,599.97,12.91,522.51,https://cdn.dummyjson.com/product-images/smartphones/iphone-5s/thumbnail.webp
47,6,Calvin Klein CK One,49.99,3.0,149.97,1.89,147.14,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp
47,46,Plant Pot,14.99,2.0,29.98,6.84,27.93,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp
47,92,Sports Sneakers Off White Red,109.99,2.0,219.98,0.04,219.89,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp
47,164,Gray Dress,34.99,4.0,139.96,14.28,119.97,https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp
