cart_id,user_id,total,discounted_total,total_products,total_quantity,source_extracted_at
59,59,74029.97,61859.29,2.0,3.0,2026-09-15T02:03:53.229890+00:00
60,60,7649.92,6748.39,2.0,8.0,2026-09-15T02:03:53.229890+00:00
61,61,642.86,571.58,5.0,14.0,2026-09-15T02:03:53.229890+00:00
62,62,2851.92,2691.23,2.0,8.0,2026-09-15T02:03:53.229890+00:00
63,63,511.92,460.04,4.0,8.0,2026-09-15T02:03:53.229890+00:00
64,64,6032.81,5389.02,5.0,19.0,2026-09-15T02:03:53.229890+00:00
65,65,1717.89,1517.78,4.0,11.0,2026-09-15T02:03:53.229890+00:00
66,66,2295.93,1907.41,4.0,7.0,2026-09-15T02:03:53.229890+00:00
67,67,443.96,389.6,3.0,4.0,2026-09-15T02:03:53.229890+00:00
68,68,252.89,221.05,3.0,11.0,2026-09-15T02:03:53.229890+00:00
69,69,7185.87,6560.55,5.0,13.0,2026-09-15T02:03:53.229890+00:00
70,70,3794.83,3295.62,5.0,17.0,2026-09-15T02:03:53.229890+00:00
71,71,77905.87,72541.01,4.0,13.0,2026-09-15T02:03:53.229890+00:00
72,72,322.86,291.77,4.0,14.0,2026-09-15T02:03:53.229890+00:00
73,73,21807.84,20510.13,6.0,16.0,2026-09-15T02:03:53.229890+00:00
74,74,1562.41,1379.22,4.0,9.0,2026-09-15T02:03:53.229890+00:00
75,75,346.44,286.02,4.0,6.0,2026-09-15T02:03:53.229890+00:00
76,76,37629.86,36017.72,5.0,14.0,2026-09-15T02:03:53.229890+00:00
77,77,999.95,880.59,3.0,5.0,2026-09-15T02:03:53.229890+00:00
78,78,128964.87,109890.08,4.0,13.0,2026-09-15T02:03:53.229890+00:00
79,79,1575.87,1336.5,6.0,13.0,2026-09-15T02:03:53.229890+00:00
80,80,1504.93,1217.93,2.0,7.0,2026-09-15T02:03:53.229890+00:00
81,81,242.85,217.41,4.0,15.0,2026-09-15T02:03:53.229890+00:00
82,82,1974.84,1674.54,5.0,16.0,2026-09-15T02:03:53.229890+00:00
83,83,150061.36,125679.0,5.0,14.0,2026-09-15T02:03:53.229890+00:00
84,84,569.92,542.55,3.0,8.0,2026-09-15T02:03:53.229890+00:00
85,85,179.94,163.88,2.0,6.0,2026-09-15T02:03:53.229890+00:00
86,86,45249.9,40809.21,2.0,10.0,2026-09-15T02:03:53.229890+00:00
87,87,309.92,278.38,3.0,8.0,2026-09-15T02:03:53.229890+00:00
88,88,149.94,128.13,2.0,6.0,2026-09-15T02:03:53.229890+00:00
89,89,2458.83,2111.01,6.0,17.0,2026-09-15T02:03:53.229890+00:00
90,90,6059.84,5010.11,5.0,16.0,2026-09-15T02:03:53.229890+00:00
91,91,259.94,228.17,2.0,6.0,2026-09-15T02:03:53.229890+00:00
92,92,809.92,680.17,3.0,8.0,2026-09-15T02:03:53.229890+00:00
93,93,1809.86,1468.77,5.0,14.0,2026-09-15T02:03:53.229890+00:00
94,94,345.81,312.15,5.0,19.0,2026-09-15T02:03:53.229890+00:00
95,95,154490.76,129783.31,6.0,24.0,2026-09-15T02:03:53.229890+00:00
96,96,104.93,92.51,2.0,7.0,2026-09-15T02:03:53.229890+00:00
97,97,2013.93,1623.42,3.0,7.0,2026-09-15T02:03:53.229890+00:00
98,98,1010.78,896.98,6.0,22.0,2026-09-15T02:03:53.229890+00:00
99,99,124.4,117.96,4.0,10.0,2026-09-15T02:03:53.229890+00:00
100,100,33003.13,31771.92,2.0,7.0,2026-09-15T02:03:53.229890+00:00
101,101,1551.88,1464.78,5.0,12.0,2026-09-15T02:03:53.229890+00:00
102,102,171.9,155.13,5.0,10.0,2026-09-15T02:03:53.229890+00:00
103,103,35.89,31.79,3.0,11.0,2026-09-15T02:03:53.229890+00:00
104,104,1120.23,990.53,6.0,27.0,2026-09-15T02:03:53.229890+00:00
105,105,147.91,134.21,3.0,9.0,2026-09-15T02:03:53.229890+00:00
106,106,104.97,94.38,2.0,3.0,2026-09-15T02:03:53.229890+00:00
107,107,129.97,120.92,2.0,3.0,2026-09-15T02:03:53.229890+00:00
108,108,1062.96,935.63,2.0,4.0,2026-09-15T02:03:53.229890+00:00
109,109,10089.94,9615.55,2.0,6.0,2026-09-15T02:03:53.229890+00:00
110,110,37703.85,31595.18,5.0,15.0,2026-09-15T02:03:53.229890+00:00
111,111,13899.91,11845.13,2.0,9.0,2026-09-15T02:03:53.229890+00:00
112,112,384.88,343.42,4.0,12.0,2026-09-15T02:03:53.229890+00:00
113,113,1624.87,1480.45,3.0,13.0,2026-09-15T02:03:53.229890+00:00
114,114,37699.93,33323.1,2.0,7.0,2026-09-15T02:03:53.229890+00:00
115,115,4526.87,4223.96,5.0,13.0,2026-09-15T02:03:53.229890+00:00
116,116,9141.33,8558.54,5.0,17.0,2026-09-15T02:03:53.229890+00:00
117,117,10989.86,9985.79,5.0,14.0,2026-09-15T02:03:53.229890+00:00
118,118,158.85,141.14,4.0,15.0,2026-09-15T02:03:53.229890+00:00
119,119,299.96,252.16,2.0,4.0,2026-09-15T02:03:53.229890+00:00
120,120,879.92,814.89,3.0,8.0,2026-09-15T02:03:53.229890+00:00
121,121,83.9,79.41,3.0,10.0,2026-09-15T02:03:53.229890+00:00
122,122,27089.94,24688.5,3.0,6.0,2026-09-15T02:03:53.229890+00:00
123,123,84301.79,78514.37,6.0,21.0,2026-09-15T02:03:53.229890+00:00
124,124,469.85,433.96,4.0,15.0,2026-09-15T02:03:53.229890+00:00
125,125,3364.92,3047.81,2.0,8.0,2026-09-15T02:03:53.229890+00:00
126,126,1105.34,920.91,5.0,16.0,2026-09-15T02:03:53.229890+00:00
127,127,1023.86,887.48,5.0,14.0,2026-09-15T02:03:53.229890+00:00
128,128,10236.85,9755.4,5.0,15.0,2026-09-15T02:03:53.229890+00:00
129,129,2246.3,1878.79,6.0,20.0,2026-09-15T02:03:53.229890+00:00
130,130,30625.95,29328.26,3.0,5.0,2026-09-15T02:03:53.229890+00:00
131,131,3702.71,3474.09,6.0,19.0,2026-09-15T02:03:53.229890+00:00
132,132,13411.81,11523.23,6.0,19.0,2026-09-15T02:03:53.229890+00:00
133,133,9559.87,8818.7,5.0,13.0,2026-09-15T02:03:53.229890+00:00
134,134,2056.81,1740.76,6.0,19.0,2026-09-15T02:03:53.229890+00:00
135,135,889.87,751.73,4.0,13.0,2026-09-15T02:03:53.229890+00:00
136,136,405.93,360.45,3.0,7.0,2026-09-15T02:03:53.229890+00:00
137,137,12442.86,10941.81,5.0,14.0,2026-09-15T02:03:53.229890+00:00
138,138,15029.93,13292.05,2.0,7.0,2026-09-15T02:03:53.229890+00:00
139,139,36.97,36.17,2.0,3.0,2026-09-15T02:03:53.229890+00:00
140,140,643.91,614.71,3.0,9.0,2026-09-15T02:03:53.229890+00:00
141,141,2991.36,2506.71,4.0,14.0,2026-09-15T02:03:53.229890+00:00
142,142,2675.8,2499.07,6.0,20.0,2026-09-15T02:03:53.229890+00:00
143,143,17609.79,15464.38,6.0,21.0,2026-09-15T02:03:53.229890+00:00
144,144,4269.05,3608.57,5.0,15.0,2026-09-15T02:03:53.229890+00:00
145,145,1153.84,1030.1,6.0,16.0,2026-09-15T02:03:53.229890+00:00
146,146,562.82,506.06,6.0,18.0,2026-09-15T02:03:53.229890+00:00
147,147,2102.83,1898.14,5.0,17.0,2026-09-15T02:03:53.229890+00:00
148,148,71.93,58.55,2.0,7.0,2026-09-15T02:03:53.229890+00:00
149,149,39227.33,34702.26,4.0,17.0,2026-09-15T02:03:53.229890+00:00
150,150,1029.42,989.15,3.0,8.0,2026-09-15T02:03:53.229890+00:00
151,151,247.85,222.39,5.0,15.0,2026-09-15T02:03:53.229890+00:00
152,152,4119.91,3369.71,2.0,9.0,2026-09-15T02:03:53.229890+00:00
153,153,4309.85,3678.46,6.0,15.0,2026-09-15T02:03:53.229890+00:00
154,154,573.92,532.54,3.0,8.0,2026-09-15T02:03:53.229890+00:00
155,155,131224.81,110543.89,5.0,19.0,2026-09-15T02:03:53.229890+00:00
156,156,2643.86,2422.79,3.0,14.0,2026-09-15T02:03:53.229890+00:00
157,157,6.98,6.65,2.0,2.0,2026-09-15T02:03:53.229890+00:00
158,158,1169.89,1079.68,5.0,11.0,2026-09-15T02:03:53.229890+00:00
159,159,451.84,396.92,6.0,16.0,2026-09-15T02:03:53.229890+00:00
160,160,164.96,142.66,2.0,4.0,2026-09-15T02:03:53.229890+00:00
161,161,2339.82,2168.95,5.0,18.0,2026-09-15T02:03:53.229890+00:00
162,162,3236.87,2982.32,4.0,13.0,2026-09-15T02:03:53.229890+00:00
163,163,1494.86,1248.15,5.0,14.0,2026-09-15T02:03:53.229890+00:00
164,164,227.88,195.93,3.0,12.0,2026-09-15T02:03:53.229890+00:00
165,165,20196.86,17751.61,6.0,14.0,2026-09-15T02:03:53.229890+00:00
166,166,129.97,108.97,2.0,3.0,2026-09-15T02:03:53.229890+00:00
167,167,48201.41,46202.72,3.0,9.0,2026-09-15T02:03:53.229890+00:00
168,168,99.94,91.93,2.0,6.0,2026-09-15T02:03:53.229890+00:00
169,169,36799.95,33456.43,2.0,5.0,2026-09-15T02:03:53.229890+00:00
170,170,1829.86,1512.89,5.0,14.0,2026-09-15T02:03:53.229890+00:00
171,171,219.94,191.81,2.0,6.0,2026-09-15T02:03:53.229890+00:00
172,172,574.89,495.78,4.0,11.0,2026-09-15T02:03:53.229890+00:00
173,173,17785.88,16911.51,4.0,12.0,2026-09-15T02:03:53.229890+00:00
174,174,752.77,701.39,6.0,23.0,2026-09-15T02:03:53.229890+00:00
175,175,349.97,302.88,2.0,3.0,2026-09-15T02:03:53.229890+00:00
176,176,269.93,218.17,2.0,7.0,2026-09-15T02:03:53.229890+00:00
177,177,2399.91,2299.48,2.0,9.0,2026-09-15T02:03:53.229890+00:00
178,178,6785.79,5846.4,6.0,21.0,2026-09-15T02:03:53.229890+00:00
179,179,27567.34,25098.32,6.0,16.0,2026-09-15T02:03:53.229890+00:00
180,180,6.97,6.87,2.0,3.0,2026-09-15T02:03:53.229890+00:00
181,181,4707.94,4138.32,3.0,6.0,2026-09-15T02:03:53.229890+00:00
182,182,3411.8,3195.45,6.0,20.0,2026-09-15T02:03:53.229890+00:00
183,183,62954.84,59760.67,5.0,16.0,2026-09-15T02:03:53.229890+00:00
184,184,14015.98,13307.5,2.0,2.0,2026-09-15T02:03:53.229890+00:00
185,185,1404.95,1243.17,2.0,5.0,2026-09-15T02:03:53.229890+00:00
186,186,364.92,359.72,2.0,8.0,2026-09-15T02:03:53.229890+00:00
187,187,10844.88,9255.33,4.0,12.0,2026-09-15T02:03:53.229890+00:00
188,188,184.92,171.55,4.0,8.0,2026-09-15T02:03:53.229890+00:00
189,189,1289.92,1172.57,3.0,8.0,2026-09-15T02:03:53.229890+00:00
190,190,56079.92,53242.95,2.0,8.0,2026-09-15T02:03:53.229890+00:00
191,191,43489.89,36399.0,5.0,11.0,2026-09-15T02:03:53.229890+00:00
192,192,70627.3,67061.66,5.0,20.0,2026-09-15T02:03:53.229890+00:00
193,193,655.8,565.46,6.0,20.0,2026-09-15T02:03:53.229890+00:00
194,194,87090.9,83615.86,3.0,10.0,2026-09-15T02:03:53.229890+00:00
195,195,44661.82,37543.81,6.0,18.0,2026-09-15T02:03:53.229890+00:00
196,196,75209.82,70006.8,5.0,18.0,2026-09-15T02:03:53.229890+00:00
197,197,58063.93,55748.9,3.0,7.0,2026-09-15T02:03:53.229890+00:00
198,198,100565.86,92308.32,4.0,14.0,2026-09-15T02:03:53.229890+00:00
199,199,28239.94,26800.96,2.0,6.0,2026-09-15T02:03:53.229890+00:00
200,200,22694.77,21783.54,6.0,23.0,2026-09-15T02:03:53.229890+00:00
201,201,128096.37,109195.89,4.0,13.0,2026-09-15T02:03:53.229890+00:00
202,202,23114.79,20545.55,6.0,21.0,2026-09-15T02:03:53.229890+00:00
203,203,50.95,46.54,2.0,5.0,2026-09-15T02:03:53.229890+00:00
204,204,25591.84,23182.99,6.0,16.0,2026-09-15T02:03:53.229890+00:00
205,205,16011.94,14075.86,2.0,6.0,2026-09-15T02:03:53.229890+00:00
206,206,229.92,213.26,3.0,8.0,2026-09-15T02:03:53.229890+00:00
207,207,22719.79,20090.11,6.0,21.0,2026-09-15T02:03:53.229890+00:00
208,208,304.95,260.12,2.0,5.0,2026-09-15T02:03:53.229890+00:00
